id,name,age,salary
1,Name_1,67,30167
2,Name_2,24,62044
3,Name_3,27,49520
4,Name_4,22,56718
5,Name_5,59,30003
6,Name_6,47,81789
7,Name_7,27,55807
8,Name_8,39,67680
9,Name_9,63,44392
10,Name_10,41,51051
11,Name_11,54,82177
12,Name_12,64,79723
13,Name_13,62,75310
14,Name_14,24,53204
15,Name_15,57,59274
16,Name_16,58,61945
17,Name_17,64,41438
18,Name_18,27,85089
19,Name_19,40,62126
20,Name_20,33,44774
21,Name_21,62,58544
22,Name_22,38,85647
23,Name_23,25,55120
24,Name_24,42,54295
25,Name_25,33,65754
26,Name_26,22,55162
27,Name_27,65,90911
28,Name_28,31,32027
29,Name_29,63,47706
30,Name_30,43,81890
31,Name_31,60,63142
32,Name_32,52,84013
33,Name_33,40,83145
34,Name_34,64,97132
35,Name_35,37,46452
36,Name_36,66,66648
37,Name_37,27,61245
38,Name_38,30,59965
39,Name_39,43,62622
40,Name_40,44,39637
41,Name_41,60,83331
42,Name_42,21,52863
43,Name_43,30,52837
44,Name_44,69,47206
45,Name_45,20,61274
46,Name_46,61,59091
47,Name_47,21,72400
48,Name_48,45,83993
49,Name_49,65,95824
50,Name_50,64,53462
51,Name_51,61,48251
52,Name_52,32,87962
53,Name_53,26,65324
54,Name_54,31,90626
55,Name_55,36,33668
56,Name_56,40,54431
57,Name_57,21,41157
58,Name_58,52,90364
59,Name_59,28,50511
60,Name_60,65,39400
61,Name_61,51,59492
62,Name_62,62,75139
63,Name_63,67,94042
64,Name_64,31,49419
65,Name_65,32,86824
66,Name_66,61,44808
67,Name_67,47,91655
68,Name_68,59,44068
69,Name_69,22,35933
70,Name_70,33,31586
71,Name_71,47,75981
72,Name_72,39,88970
73,Name_73,67,59259
74,Name_74,69,36447
75,Name_75,61,65812
76,Name_76,45,70328
77,Name_77,43,44210
78,Name_78,68,52719
79,Name_79,65,37770
80,Name_80,21,97366
81,Name_81,56,56322
82,Name_82,30,98968
83,Name_83,50,33054
84,Name_84,53,66947
85,Name_85,53,93673
86,Name_86,44,64550
87,Name_87,51,51878
88,Name_88,21,63049
89,Name_89,49,51005
90,Name_90,64,81138
91,Name_91,49,36825
92,Name_92,41,54543
93,Name_93,36,72033
94,Name_94,45,80774
95,Name_95,43,91062
96,Name_96,26,87907
97,Name_97,50,31959
98,Name_98,53,57181
99,Name_99,63,47548
100,Name_100,49,66261
